País,Población
Cabo VerdeCabo VerdeCabo Verde,588000
MaltaMaltaMalta,584000
MaldivasMaldivasMaldivas,562000
BrunéiBrunéiBrunéi,459000
BeliceBeliceBelice,418000
BahamasBahamasBahamas,409000
IslandiaIslandiaIslandia,393000
GuadalupeGuadalupeGuadalupe(Francia),374000
MartinicaMartinicaMartinica(Francia),346000
MayotteMayotte(Francia),343000
VanuatuVanuatuVanuatu,335000
Guayana FrancesaGuayana FrancesaGuayana Francesa,308000
BarbadosBarbadosBarbados,283000
Polinesia FrancesaPolinesia FrancesaPolinesia Francesa,280000
Nueva CaledoniaNueva CaledoniaNueva Caledonia(Francia),264000
SamoaSamoaSamoa,213000
Santo Tomé y PríncipeSanto Tomé y Príncipe,211000
Santa LucíaSanta LucíaSanta Lucía,175000
CurazaoCurazaoCurazao(PB),162000
GuamGuamGuam(EE.UU.),151000
KiribatiKiribatiKiribati,129000
SeychellesSeychellesSeychelles,122000
San Vicente y las GranadinasSan Vicente y las GranadinasSan Vicente y las Granadinas,111000
GranadaGranadaGranada,110000
ArubaArubaAruba(PB),109000
JerseyJerseyJersey(RU),106000
TongaTonga,100000
Antigua y BarbudaAntigua y BarbudaAntigua y Barbuda,96000
Islas CaimánIslas Caimán(RU),90000
AndorraAndorra,88000
Isla de ManIsla de ManIsla de Man(RU),85000
Islas Vírgenes de los Estados UnidosIslas Vírgenes de los Estados Unidos,78000
MicronesiaMicronesiaMicronesia,72000
DominicaDominicaDominica,66000
GuernseyGuernsey(RU),65000
BermudasBermudasBermudas(RU),64000
GroenlandiaGroenlandiaGroenlandia(Dinamarca),57000
Islas FeroeIslas FeroeIslas Feroe(Dinamarca),55000
Islas Turcas y CaicosIslas Turcas y Caicos(RU),54000
Islas Marianas del NorteIslas Marianas del NorteIslas Marianas del Norte(EE.UU.),47000
Samoa AmericanaSamoa AmericanaSamoa Americana(EE.UU.),47000
San Cristóbal y NievesSan Cristóbal y NievesSan Cristóbal y Nieves,47000
LiechtensteinLiechtensteinLiechtenstein,41000
Sint MaartenSan Martín(PB),41000
GibraltarGibraltar(RU)[30],40000
Islas Vírgenes BritánicasIslas Vírgenes Británicas(RU),40000
Islas MarshallIslas MarshallIslas Marshall,39000
MónacoMónacoMónaco,39000
San MarinoSan Marino,34000
Caribe NeerlandésCaribe Neerlandés(PB),32000
ÅlandÅlandÅland(Finlandia),31000
Saint-MartinSan Martín(Francia),31000
AnguilaAnguilaAnguila(RU),15000
Islas CookIslas CookIslas Cook(NZ)[31],15000
PalaosPalaosPalaos,14000
NauruNauruNauru,12000
TuvaluTuvalu,11000
Wallis y FutunaWallis y Futuna(Francia),11000
San BartoloméSan BartoloméSan Bartolomé(Francia),10000
San Pedro y MiquelónSan Pedro y Miquelón(Francia),6000
"Santa Elena, Ascensión y Tristán de AcuñaSanta Elena, Ascensión y Tristán de AcuñaSanta Elena, Ascensión y Tristán de Acuña(RU)",5000
Islas MalvinasIslas MalvinasIslas Malvinas(RU)[32],4000
MontserratMontserratMontserrat(RU),4000
NorfolkIsla Norfolk(Australia),3000
Svalbard y Jan MayenSvalbard y Jan MayenSvalbard y Jan Mayen(Noruega),3000
TokelauTokelau(NZ),3000
Isla de NavidadIsla de NavidadIsla de Navidad(Australia),2000
NiueNiueNiue(NZ)[33],2000
VaticanoCiudad del Vaticano,1000
Islas CocosIslas CocosIslas Cocos(Australia),600
Islas Ultramarinas Menores de los Estados UnidosIslas Ultramarinas Menores de los Estados Unidos,100
Islas PitcairnIslas Pitcairn(RU),30
Mundo,8073541000
País (o territorio dependiente),Proyecciónexponencialde lapoblaciónal1/7/2025
